,season_x,player_name,Tm,Age,Pos,Int,PD,Sk,QBHits,season_y,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
2513,2016,Devon Still,HOU,27,DT,0,0,0.0,0,2012,DT,Penn State,77,303.0,5.01,26.0,29.5,114.0,7.0,4.0
2514,2016,Jordan Tripp,2TM,25,LB,0,0,0.0,0,2014,OLB,Montana,75,234.0,4.67,22.0,37.5,120.0,6.89,3.96
2515,2016,Mehdi Abdesmad,TEN,25,DE,0,0,0.0,0,2016,DE,Boston Col.,78,284.0,5.1,25.0,29.5,108.0,7.55,4.62
2516,2016,T.J. Barnes,KAN,26,DT,0,0,0.0,0,2013,DT,Georgia Tech,78,369.0,5.3,25.0,22.0,97.0,8.26,4.96
2517,2016,Sam Barrington,2TM,26,LB,0,0,0.0,0,2013,ILB,South Florida,73,246.0,4.91,22.0,32.5,117.0,7.0,4.0
2518,2016,Deandre Coleman,BUF,25,DE,0,0,0.0,0,2014,DT,California,77,314.0,5.12,24.0,,114.0,7.0,4.0
2519,2017,Deandre Coleman,BUF,26,DE,0,0,0.0,0,2014,DT,California,77,314.0,5.12,24.0,,114.0,7.0,4.0
2520,2016,Chris Davis,SFO,26,DB,0,0,0.5,1,2014,CB,Auburn,70,202.0,4.54,15.0,,114.0,7.0,4.0
2521,2016,Will Davis,BAL,26,DB,1,1,0.0,0,2013,CB,Utah State,71,186.0,4.51,16.0,35.5,127.0,6.52,4.02
2522,2016,Will Davis,BAL,26,DB,1,1,0.0,0,2009,DE,Illinois,74,261.0,4.84,27.0,33.0,115.0,7.38,4.45
2523,2016,Paul Dawson,CIN,23,LB,0,0,0.0,0,2015,ILB,TCU,72,235.0,4.93,21.0,28.0,109.0,7.0,4.49
2524,2017,Paul Dawson,SEA,24,LB,0,0,0.0,0,2015,ILB,TCU,72,235.0,4.93,21.0,28.0,109.0,7.0,4.49
2525,2016,Mario Edwards,OAK,22,DE,0,0,0.0,0,2000,CB,Florida State,72,191.0,4.46,20.0,,120.0,7.0,4.0
2526,2017,Mario Edwards,OAK,23,LDE,0,0,3.5,9,2000,CB,Florida State,72,191.0,4.46,20.0,,120.0,7.0,4.0
2527,2018,Mario Edwards,NYG,24,DE,0,0,2.0,5,2000,CB,Florida State,72,191.0,4.46,20.0,,120.0,7.0,4.0
2528,2019,Mario Edwards,NOR,25,DE,0,0,3.0,3,2000,CB,Florida State,72,191.0,4.46,20.0,,120.0,7.0,4.0
2529,2020,Mario Edwards,CHI,26,DE,0,1,4.0,7,2000,CB,Florida State,72,191.0,4.46,20.0,,120.0,7.0,4.0
2530,2021,Mario Edwards,CHI,27,DE,0,1,2.0,5,2000,CB,Florida State,72,191.0,4.46,20.0,,120.0,7.0,4.0
2531,2022,Mario Edwards,TEN,28,DE,0,1,3.0,11,2000,CB,Florida State,72,191.0,4.46,20.0,,120.0,7.0,4.0
2532,2016,Justin Gilbert,PIT,25,DB,0,0,0.0,0,2014,CB,Oklahoma State,72,202.0,4.37,20.0,35.5,126.0,6.92,4.0
2533,2016,Malliciah Goodman,2TM,26,DE,0,0,0.0,0,2013,DE,Clemson,76,276.0,4.87,26.0,31.5,114.0,7.0,4.0
2534,2016,Taylor Hart,SFO,25,DE,0,0,0.0,0,2014,DE,Oregon,78,281.0,4.92,21.0,,114.0,7.0,4.0
2535,2016,Branden Jackson,OAK,24,DE,0,0,0.0,0,2016,DE,Texas Tech,76,273.0,5.06,20.0,31.5,113.0,7.4,4.77
2536,2017,Branden Jackson,SEA,25,DE,0,1,0.5,2,2016,DE,Texas Tech,76,273.0,5.06,20.0,31.5,113.0,7.4,4.77
2537,2018,Branden Jackson,SEA,26,DE,0,0,1.0,2,2016,DE,Texas Tech,76,273.0,5.06,20.0,31.5,113.0,7.4,4.77
2538,2019,Branden Jackson,SEA,27,DE,0,2,2.0,3,2016,DE,Texas Tech,76,273.0,5.06,20.0,31.5,113.0,7.4,4.77
2539,2016,Isaiah Johnson,LAR,24,DB,0,0,0.0,0,2019,CB,Houston,74,208.0,4.4,20.0,36.5,133.0,6.81,4.06
2540,2017,Isaiah Johnson,TAM,25,DB,0,0,0.0,0,2019,CB,Houston,74,208.0,4.4,20.0,36.5,133.0,6.81,4.06
2541,2017,Isaiah Johnson,LAR,25,DB,0,0,0.0,0,2019,CB,Houston,74,208.0,4.4,20.0,36.5,133.0,6.81,4.06
2542,2018,Isaiah Johnson,TAM,26,DB,1,2,0.0,0,2019,CB,Houston,74,208.0,4.4,20.0,36.5,133.0,6.81,4.06
2543,2018,Isaiah Johnson,LAR,26,DB,0,0,0.0,1,2019,CB,Houston,74,208.0,4.4,20.0,36.5,133.0,6.81,4.06
2544,2019,Isaiah Johnson,OAK,24,DB,0,1,0.0,0,2019,CB,Houston,74,208.0,4.4,20.0,36.5,133.0,6.81,4.06
2545,2020,Isaiah Johnson,LVR,25,DB,0,4,0.0,0,2019,CB,Houston,74,208.0,4.4,20.0,36.5,133.0,6.81,4.06
2546,2016,Dexter McDougle,NYJ,25,DB,0,0,0.0,0,2014,CB,Maryland,70,196.0,4.47,20.0,,114.0,7.0,4.0
2547,2017,Dexter McDougle,2TM,26,DB,0,0,0.0,0,2014,CB,Maryland,70,196.0,4.47,20.0,,114.0,7.0,4.0
2548,2018,Dexter McDougle,PHI,27,DB,0,1,0.0,1,2014,CB,Maryland,70,196.0,4.47,20.0,,114.0,7.0,4.0
2549,2016,Nick Moody,WAS,26,LB,0,0,0.0,0,2013,OLB,Florida State,73,236.0,4.71,17.0,,118.0,7.0,4.0
2550,2016,Leon Orr,MIA,24,DT,0,0,0.0,0,2015,DT,Florida,77,323.0,5.16,20.0,28.0,100.0,8.26,4.9
2551,2016,Trevor Reilly,MIA,28,LB,0,0,0.0,0,2014,OLB,Utah,77,245.0,4.67,26.0,,114.0,7.0,4.0
2552,2017,Trevor Reilly,NWE,29,LB,0,0,0.0,0,2014,OLB,Utah,77,245.0,4.67,26.0,,114.0,7.0,4.0
2553,2016,Jordan Richards,NWE,23,DB,0,0,0.0,0,2015,S,Stanford,71,211.0,4.65,13.0,32.0,111.0,6.74,4.22
2554,2017,Jordan Richards,NWE,24,SS,0,1,0.0,0,2015,S,Stanford,71,211.0,4.65,13.0,32.0,111.0,6.74,4.22
2555,2018,Jordan Richards,ATL,25,FS,0,3,0.0,0,2015,S,Stanford,71,211.0,4.65,13.0,32.0,111.0,6.74,4.22
2556,2019,Jordan Richards,2TM,26,DB,0,0,0.0,0,2015,S,Stanford,71,211.0,4.65,13.0,32.0,111.0,6.74,4.22
2557,2020,Jordan Richards,BAL,27,DB,0,0,0.0,0,2015,S,Stanford,71,211.0,4.65,13.0,32.0,111.0,6.74,4.22
2558,2021,Jordan Richards,BAL,28,DB,0,0,0.0,0,2015,S,Stanford,71,211.0,4.65,13.0,32.0,111.0,6.74,4.22
2559,2016,Edmond Robinson,MIN,24,LB,0,0,0.0,0,2015,OLB,Newberry,75,245.0,4.61,20.0,37.0,121.0,7.49,4.38
2560,2017,Edmond Robinson,NYJ,25,LB,0,0,0.0,0,2015,OLB,Newberry,75,245.0,4.61,20.0,37.0,121.0,7.49,4.38
2561,2020,Edmond Robinson,ATL,28,LB,0,0,0.0,1,2015,OLB,Newberry,75,245.0,4.61,20.0,37.0,121.0,7.49,4.38
2562,2021,Edmond Robinson,SEA,29,LB,0,0,0.0,0,2015,OLB,Newberry,75,245.0,4.61,20.0,37.0,121.0,7.49,4.38
2563,2016,JaCorey Shepherd,SFO,23,DB,0,0,0.0,0,2015,CB,Kansas,71,199.0,4.62,14.0,,114.0,7.0,4.0
2564,2016,Ryan Smith,TAM,23,DB,0,0,0.0,0,2007,CB,Florida,70,174.0,4.51,11.0,,114.0,7.0,4.0
2565,2016,Ryan Smith,TAM,23,DB,0,0,0.0,0,2016,CB,North Carolina Central,71,189.0,4.47,18.0,36.0,122.0,6.88,4.09
2566,2017,Ryan Smith,TAM,24,LCB,0,5,0.0,0,2007,CB,Florida,70,174.0,4.51,11.0,,114.0,7.0,4.0
2567,2017,Ryan Smith,TAM,24,LCB,0,5,0.0,0,2016,CB,North Carolina Central,71,189.0,4.47,18.0,36.0,122.0,6.88,4.09
2568,2018,Ryan Smith,TAM,25,LCB,1,6,0.0,0,2007,CB,Florida,70,174.0,4.51,11.0,,114.0,7.0,4.0
2569,2018,Ryan Smith,TAM,25,LCB,1,6,0.0,0,2016,CB,North Carolina Central,71,189.0,4.47,18.0,36.0,122.0,6.88,4.09
2570,2019,Ryan Smith,TAM,26,DB,0,1,0.0,0,2007,CB,Florida,70,174.0,4.51,11.0,,114.0,7.0,4.0
2571,2019,Ryan Smith,TAM,26,DB,0,1,0.0,0,2016,CB,North Carolina Central,71,189.0,4.47,18.0,36.0,122.0,6.88,4.09
2572,2020,Ryan Smith,TAM,27,DB,0,0,0.0,0,2007,CB,Florida,70,174.0,4.51,11.0,,114.0,7.0,4.0
2573,2020,Ryan Smith,TAM,27,DB,0,0,0.0,0,2016,CB,North Carolina Central,71,189.0,4.47,18.0,36.0,122.0,6.88,4.09
2574,2021,Ryan Smith,LAC,28,DB,0,0,0.0,0,2007,CB,Florida,70,174.0,4.51,11.0,,114.0,7.0,4.0
