,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
163,00-0033555,2022,REG,1,1,4.0,0,0.0,0.0,0.0,0,0,-6.0,10.0,0.0,0.05114959494676441,0,0.0,0.0,4,40.0,0,0.0,0.0,2.0,2.158991231932305,0,57,94,690.0,4,0.0,0.0,1192.0,196.0,34.0,31.43468787536654,0,13.119472820450985,2.8622195419465677,3.8074359380492,6.958534469554292,0.0,97.16000000000001,154.16,17,0.16040955631399317,0.22313740172220142,0.10986547085201794,0.4191242558487509,0.1649928263988522,0.14285714285714285,0.17616580310880828,0.17194570135746606,0.15392498462799753,0.16056568969051035,1.1774744027303754,0.10543161580653544
164,00-0033572,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,86.0,0,0.0,0.0,6.0,6.083855954842875,0,23,30,187.0,3,0.0,0.0,178.0,125.0,9.0,6.7310157297821,1,8.410153958944282,0.9311482444863765,0.7508822515118612,1.9223399427878674,0.0,47.3,70.3,14,0.061224489795918366,0.04998595900028082,0.07212925562608194,0.1318255018941022,0.05389048991354467,0.13043478260869565,0.05142857142857143,0.06060606060606061,0.09216263626112016,0.06919934845257487,0.3816326530612245,0.0563165905631659
165,00-0033576,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,15,24,148.0,1,0.0,0.0,202.0,75.0,6.0,-2.877889098607665,0,11.297301996249365,0.7173391991020062,0.8689751126464358,1.6842913775055144,0.0,20.8,35.8,11,0.060453400503778336,0.06491002570694088,0.049439683586025046,0.1426081213212202,0.05493689680772086,0.09090909090909091,0.05309734513274336,0.056451612903225805,0.0729229938584059,0.062131335627994874,0.37279596977329976,0.04100989736070381
166,00-0033591,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,43,74,555.0,3,1.0,1.0,800.0,128.0,25.0,-2.5797449333169062,0,12.18448534591861,2.335821584480121,3.07688363679008,5.657550922473238,0.0,71.5,114.5,15,0.14829659318637275,0.2028911995942176,0.08642808912896692,0.3847578494549332,0.16323529411764706,0.125,0.15060240963855423,0.14736842105263157,0.14411764705882352,0.15558823529411764,1.1122244488977955,0.08849215549887936
167,00-0033633,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,7.0,0.0,0.0,-0.7896298202686012,0,0.0,0.027777777777777776,0.015486725663716814,0.052507374631268436,0.0,0.0,0.0,1,0.027777777777777776,0.015486725663716814,0.0,0.054056047197640116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,00-0033662,2022,REG,94,162,1051.0,5,3.0,7.0,49.0,2,0,1247.0,455.0,52.0,-9.40141764110182,0,5.073308998810486,0.4156372615366916,9,6.0,0,0.0,0.0,1.0,-3.2891339077396897,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,56.64,56.64,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10055746901963569
169,00-0033681,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10,21,141.0,1,0.0,0.0,345.0,20.0,8.0,6.316290947957896,0,4.1441766724977995,0.5952957340643288,1.0197873739525707,1.6067947628632928,0.0,20.1,30.1,9,0.06583072100313479,0.11730703842230533,0.02254791431792559,0.19259171224254645,0.06743185078909612,0.07142857142857142,0.08421052631578947,0.08256880733944955,0.06943021110883377,0.06823119491699119,0.44200626959247646,0.041463481830454306
170,00-0033699,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,204,915.0,13,3.0,2.0,46.0,-2.574200863173674,0,107,127,722.0,5,2.0,1.0,-101.0,857.0,37.0,12.586065592543006,0,-36.06825396825397,3.0160049919729626,-0.46525256895738637,4.198330689689273,0.0,265.7,372.7,17,0.17862165963431786,-0.022414558366622282,0.33528951486697967,0.25000084275817896,0.1506992277186391,0.19230769230769232,0.15948275862068967,0.16279069767441862,0.17150346001316571,0.15902092063644976,1.0154711673699015,0.22863066975842564
171,00-0033725,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,15,55.0,1,0.0,0.0,6.0,-0.7532883542007767,0,5,7,54.0,0,0.0,0.0,-4.0,61.0,3.0,2.6042010479141027,0,2.977272727272727,0.2358912185613084,-0.0398016828709898,0.3259756498322698,0.0,16.9,21.9,4,0.051094890510948905,-0.0034482758620689655,0.13555555555555557,0.07388371507676819,0.06157354618015964,0.0,0.075,0.06818181818181818,0.03078677309007982,0.049258836944127714,0.39416058394160586,0.07230586370839936
172,00-0033757,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,53,67,470.0,2,0.0,0.0,390.0,230.0,19.0,3.8618942636649485,0,17.744087221238008,2.035336817354806,1.4182250500162203,4.045762761043563,0.0,59.0,112.0,17,0.11900532859680284,0.08682101513802315,0.11523046092184369,0.2479648050056228,0.12082262210796915,0.07407407407407407,0.10215053763440861,0.09859154929577464,0.09744834809102161,0.11147291250119015,0.8348134991119005,0.07799986071453444
173,00-0033798,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,6.0,0,0.0,0.0,6.0,0.0,0.0,-0.6555010332958773,0,1.5,0.07023809523809524,0.035981514084507046,0.1305442027162978,0.0,0.6000000000000001,2.6,2,0.03389830508474576,0.01507537688442211,0.0,0.06290775913465634,0.015544041450777202,0.0,0.0,0.0,0.007772020725388601,0.012435233160621763,0.1016949152542373,0.017480166733898076
